Outcomes	coefficient	pval	pre_cont_mean	pre_cont_sd	pre_cont_n	post_cont_mean	post_cont_sd	post_cont_n	pre_int_mean	pre_int_sd	pre_int_n	post_int_mean	post_int_sd	post_int_n
Synthetic Alpha-Tocopherol all rac-alpha-tocopherol or dl-alpha-tocopherol mg	0	NaN	0	0	13	0	0	11	0	0	24	0	0	20
Daidzein mg	0.147130652680652	0.116395810437933	0.118923076923077	0.17771065506344	13	0.0819090909090909	0.126673165702492	11	0.102333333333333	0.156956007867801	24	0.21245	0.229582567419998	20
Genistein mg	0.0748877039627061	0.327638049334193	0.0975384615384615	0.143722310599651	13	0.102909090909091	0.147719636166256	11	0.0962916666666667	0.123479087885065	24	0.17655	0.178398570622076	20
Glycitein mg	0.0374129953379953	0.0508626330929774	0.0233076923076923	0.0365909474583187	13	0.00663636363636364	0.0133212066065558	11	0.0172083333333333	0.0336038030542697	24	0.03795	0.0477697052203811	20
Coumestrol mg	0.00396130536130535	0.0978634740868254	0.00284615384615385	0.00466987069496494	13	0.000818181818181818	0.00153741222957161	11	0.00266666666666667	0.00423922333603145	24	0.0046	0.00595067444209389	20
Biochanin A mg	2.50000000000085e-05	0.863521004898585	0	0	13	0	0	11	0.000125	0.000337831962346088	24	0.00015	0.000366347548532523	20
Formononetin mg	2.13082750582719e-05	0.959903115486335	0.000153846153846154	0.000375533808099405	13	0.000695454545454546	0.00103451789386519	11	0.000402083333333334	0.000784147164352661	24	0.000965000000000001	0.000957532464751266	20
Added Sugars by Available Carbohydrate g	-87.7731137820511	0.0314439860640119	123.841665384615	90.9233074211754	13	127.2363	105.240226812401	11	131.326179166667	77.0788548059359	24	46.9477	49.2380132771846	20
Acesulfame Potassium mg	0	NaN	0	0	13	0	0	11	0	0	24	0	0	20
Sucralose mg	0	NaN	0	0	13	0	0	11	0	0	24	0	0	20
